Colonia,Ubicacion,TipoClave,TipoDesc,Clase
254,Calle Molino del Salvador,2,Parque,1
254,Calle Molino del Salvador,3,Jardin,1
407,Calle Villas del Sol,3,Jardin,1
105,Calle Lusitania pegado al canal.,3,Jardin,1
109,Zona recreativa con jardin y juegos infantiles ademas de contar con cancha de basquetbol.,2,Parque,1
109,Orquideas y Girasol (dentro de Casas GEO),3,Jardin,1
216,Lomas de los Altos y Av. Zoquipan,3,Jardin,0
216,Lomas del Infante entre Lomas del Libano y Lomas de Zoquipan,3,Jardin,1
216,Lomas de los angeles y Lomas Verdes (notoriamente descuidado),2,Parque,1
233,Manuel Tortoloero entre Vista Hermosa y Santa Lucia,3,Jardin,1
233,Vista Hermosa y Manuel M. Tortolero,2,Parque,1
106,Mediero No. 613,2,Parque,0
106,Mediero No. 613,3,Jardin,0
330,Rincanada la Azalea,3,Jardin,0
330,Rinconada la Azalea,2,Parque,0
103,Miguel Gutierrez,3,Jardin,1
103,Blvd. del Rodeo y Prolongacion Pino Suarez,3,Jardin,1
103,Miguel Gutierrez,4,Juegos Infantiles,1
103,Blvd. del Rodeo y Prolongacion Pino Suarez,4,Juegos Infantiles,1
402,Dr. A Carpinteros entre Juan Jose Moreno y Jose Ma. Hidalgo,2,Parque,0
402,J.M.E. Gutierrez de Hermosillo y Juan Jose Moreno,3,Jardin,1
402,Dr. A Carpintero y Jose Ma. Hidalgo,3,Jardin,1
402,Cto. Presidente Jose Ma. Hidalgo y Dr. J.N. Gomez Villasenior,3,Jardin,1
402,Dr. A. Carpintero entre Juan Jose Moreno y Jose Ma. Hidalgo,4,Juegos Infantiles,0
28,Paulino Olvera y Epigmenio Preciado,2,Parque,0
28,Paulino Olvera y Epigmenio Preciado,3,Jardin,0
28,Paulino Olvera y Epigmenio Preciado,4,Juegos Infantiles,0
233,Vista Hermosa y Manuel M. Tortolero (en el parque),4,Juegos Infantiles,1
368,Calle D Colignon y Ma. de la Penia,3,Jardin,0
367,Av. Aurelio Ortega (camellon),3,Jardin,1
395,Manuel Anaya y V. Rosales,4,Juegos Infantiles,0
2,Natividad J. Macias y Manuel Anaya,4,Juegos Infantiles,0
2,Natividad J. Macias y Manuel Anaya,1,Plaza Civica,0
366,General Salvador Gonzalez T. y Aldama,3,Jardin,0
366,General Salvador Gonzalez T. y Aldama,4,Juegos Infantiles,0
81,Lomas de los angeles y Lomas Verdes,2,Parque,0
81,Lomas de los Altos y Av. Zoquipan,3,Jardin,0
81,Lomas del Infante entre Libano y Lomas de Zoquipan,3,Jardin,0
106,Medieros No. 613,1,Plaza Civica,1
195,Av. Mariano Barcenas y Luis Quintero,2,Parque,0
195,Av. Mariano Barcenas y Luis Quintero,3,Jardin,0
195,Av. Mariano Barcenas y Luis Quintero,4,Juegos Infantiles,0
325,Alberto Cinta y Vicente Guerrero,2,Parque,0
325,Alberto Cinta y Vicente Guerrero,3,Jardin,0
