Colonia,NoAsignacion,Descripcion,MontoContratado,EmpresaContratista,ClaseAsigna,ZonaC,Rubro,SubRubro,FechaInicio,FechaTermino,StatusAdmvo,Control,Anio
396,001/P-AD-C01-07,CONSTRUCCIoN DE BOCA DE TORMENTA TIPO TRANSVERSAL Y LiNEA DE ALEJAMIENTO UBICADA EN AVENIDA JUAN GIL PRECIADO ESQUINA CON CALLE COPALITA EN LA COLONIA VICENTE GUERRERO.,220000,CONSTRUCCIONES ELECTRIFICACIONES Y ARRENDAMIENTOS DE MAQUINARIA S.A. DE C.V.,Obra,3,Infraestructura Urbana,Alcantarillado,26-Mar-07,26-Abr-07,Finiquitada,1,2007
144,004/P-AD-C01-07,SUMINISTRO Y APLICACIoN DE SELLO SLURRY SEAL UBICADO EN LA CALLE ALHELIES ENTRE SANTA MARGARITA Y SANTA ESTHER EN  COLONIA GIRASOLES,150000,CONSTRU-OPCION S.A. DE C.V.,Obra,4,Infraestructura Urbana,Infraestructura Vial,30-Abr-07,30-May-07,Finiquitada,1,2007
167,006/P-AD-C01-07,AMPLIACION DE CARRILES UBICADO ENTRE LA CUMBRE Y EL POBLADO DE HUAXTLA A PARTIR DEL CADENAMIENTO 0+111.38 2DA. ETAPA,246949.68,P Y P CONSTRUCTORA S.A. DE C.V.,Obra,RN,Infraestructura Urbana,Infraestructura Rural,21-May-07,21-Jun-07,Finiquitada,1,2007
23,007/P-AD-C01-07,CONSTRUCCION DE CARPETA  ASFALTICA Y SELLO SLURRY SEAL SOBRE EMPEDRADO UBICADO EN LA CALLE FCO. I. MADERO ENTRE LA CARRETERA A SALTILLO Y CALLE PIPILA EN LA COL. ARROYO HONDO.,254816.38,CONSTRUCCIONES ELECTRIFICACIONES Y ARRENDAMIENTOS DE MAQUINARIA S.A. DE C.V.,Obra,2A,Infraestructura Urbana,Infraestructura Vial,26-Mar-07,26-Abr-07,Finiquitada,1,2007
25,009/P-AD-C01-07,REMODELACION DE PLAZA CIVICA EN LAS CALLES ALDAMA Y NIniOS HEROES EN LA COLONIA ATEMAJAC DEL VALLE.,250000,CONSTRUCTUR S.A DE C.V.,Obra,1B,Equipamiento Urbano,Cultura,12-Jun-07,12-Jul-07,Finiquitada,1,2007
37,016/P-ES-C01-07,PRIMERA ETAPA PARA LA CONSTRUCCION DE URBANIZACION E INFRAESTRUCTURA PARA LOS SERVICIOS DE AGUA POTABLE ALCANTARILLADO ELECTRIFICACION Y PAVIMENTOS DE LA UNIDAD HABITACIONAL BELENES UBICADA EN AV. VENUSTIANO CARRANZA ESQUINA CON AVENIDA ENRIQUE DIAZ DE,507170.85,BREYSA CONSTRUCTORA S.A. DE C.V.,Escalatoria,1B,Infraestructura Urbana,Otros,,,Finiquitada,1,2007
237,017/P-CR-C01-07,CONSTRUCCION DE CARRILES CENTRALES EN LA AV. PROLONGACION MARIANO OTERO INICIANDO EN EL CRUCE CON LA CALLE JAVIER MINA CADENAMIENTO 1+177 AL CADENAMIENTO 1+570 EN LA COL. MARIANO OTERO,5292886.33,ALFRA INGENIEROS S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,31-Mar-07,15-Oct-07,Terminada sin Finiquitar,1,2007
25,018/P-AD-C01-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIA PARA OBRA DE ADOQUIN EN LA CALLE REFORMA ENTRE LA PRIVADA REFORMA Y EJIDO CALLE HILARIO T. ROCHA ENTRE CALLE REFORMA Y CERRADA CALLE LOPEZ MATEOS ENTRE HILARIO T. ROCHA Y EJIDO CALLE EJIDO ENTRE REFORMA Y,503076.38,ING. JOSE LUIS FRAUSTO MIRANDA,Obra,1B,Infraestructura Urbana,Infraestructura Vial,18-Abr-07,2-Jun-07,Finiquitada,1,2007
25,019/P-AD-C01-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIA PARA OBRA DE ADOQUIN EN LA CALLE REFORMA ENTRE AV. EXPERIENCIA Y PRIV. REFORMA CALLE LOPEZ MATEOS ENTRE EXPERIENCIA E HILARIO T. ROCHA CALLE AQUILES SERDAN ENTRE REFORMA Y LOPEZ MATEOS CALLE JUAN ANTONIO,771275.35,BREYSA CONSTRUCTORA S.A. DE C.V.,Obra,1B,Infraestructura Urbana,Infraestructura Vial,21-May-07,5-Jul-07,Finiquitada,1,2007
408,020/P-AD-C01-07,TRAZO NIVELACIoN Y CONFORMACIoN DE TERRACERIAS PARA EMPEDRADO EN LA CALLE IGNACIO ESPINOZA DE SANTOS RIVERA A IRINEO OSORIO EN LA COLONIA VILLAS DE GUADALUPE COMITe No. 273,348544.32,ACONT S.A. DE C.V.,Obra,2B,Infraestructura Urbana,Infraestructura Vial,30-Abr-07,30-May-07,Finiquitada,1,2007
32,022/P-AD-C01-07,TRAZO NIVELACIoN Y CONFORMACIoN DE TERRACERIA DE LA CALLE DIAMANTE DESDE LOMA BONITA HASTA EL CANAL Y CALLE PRIV. DIAMANTE DESDE DIAMANTE HASTA EL ARROYO COLONIA BALCONES DE LA CANTERA COMITe No. 144,283250.08,VECTOR GRUPO CONSTRUCTOR S.A. DE C.V.,Obra,2A,Infraestructura Urbana,Infraestructura Vial,12-Abr-07,12-Jun-07,Finiquitada,1,2007
349,023/P-AD-C01-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIA PARA OBRA DE ADOQUIN EN LA CALLE PRIV. LIBERTAD ENTRE LA CALLE LIBERTAD Y CERRADA EN LA COLONIA SAN JUAN DE OCOTAN COMITe NO. 44-A,187313.59,TORRES AGUIRRE INGENIEROS S.A. DE C.V.,Obra,4,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,4-Jul-07,Finiquitada,1,2007
349,024/P-AD-C01-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIA PARA OBRA DE EMPEDRADO EN LA CALLE PRIV. DEL SOL  ENTRE LA CALLE PARRAL Y LA CERRADA EN LA COLONIA SAN JUAN DE OCOTAN COMITe NO. 225,381947.09,TORRES AGUIRRE INGENIEROS S.A. DE C.V.,Obra,4,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,4-Jul-07,Finiquitada,1,2007
83,025/P-AD-C01-07,TRAZO NIVELACIoN Y CONFORMACIoN DE TERRACERIA DE LA CALLE TABACHINES DE NOCHE BUENA A VOLCaN EN LA COLONIA COLINAS DE LA PRIMAVERA COMITe No. 164 PEC,133195.2,VECTOR GRUPO CONSTRUCTOR S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,30-Abr-07,30-May-07,Finiquitada,1,2007
55,027/P-AD-C01-07,TRAZO NIVELACIoN Y CONFORMACIoN DE TERRACERIA DE LA CALLE SAN JOSe DE LA CALLE SANTA LUCIA A LA CALLE SAN RAFAEL EN LA COLONIA EL CAMPANARIO DEL COMITe No. 310,196440.47,ALFRA INGENIEROS S.A. DE C.V.,Obra,8,Infraestructura Urbana,Infraestructura Vial,14-Jun-07,14-Jul-07,Finiquitada,1,2007
360,028/P-AD-C01-07,TRAZO NIVELACIoN Y CONFORMACIoN DE TERRACERIA PARA EMPEDRADO EN LA PRIVADA LoPEZ MATEOS DE CALLE 5 DE MAYO A CERRADA EN LA COLONIA SANTA LUCIA  COMITe NO. 288,143480.52,GRANDE DE MEXICO CONSTRUCTORA E INMOBILIARIA S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Infraestructura Vial,12-Mar-07,12-Abr-07,Finiquitada,1,2007
7,031/P-CP-C01-07,CONSTRUCCION DE COLECTOR PLUVIAL POR CALLE VICENTE GUERRERO LAZARO CARDENAS FRANCISCO VILLA Y JOSEFA ORTIZ DE DOMINGUEZ ENTRE AV. LOPEZ MATEOS Y CANAL EN LA COLONIA AGUA BLANCA,10100564.46,ESTRUCTURAS CONSTRUCCIONES Y URBANIZACIONES S.A. DE C.V.,Obra,8,Infraestructura Urbana,Colectores,3-May-07,15-Oct-07,Finiquitada,1,2007
85,035/P-CA-C02-07,ELABORACION DE PROYECTO PARA LA CONSTRUCCION DE TEATRO AL AIRE LIBRE UBICADO EN LA CONFLUENCIA DE LAS CALLES PINOS Y CEDROS EN LA COLONIA COLINAS DE LOS ROBLES.,27187.5,ARQ. FERNANDO DANIEL TORRES MANCILLA,Convenio Adicional,3,Equipamiento Urbano,Cultura,23-Abr-07,7-May-07,Finiquitada,1,2007
222,036/P-OT-C02-07,DESARROLLO DE 16 ESTUDIOS DE MECANICA DE SUELOS PARA LOS SIGUIENTES COMITES DEL PROGRAMA DE ESFUERZOS COMPARTIDOS: COMITe Nº.72 157 267 Y 345 DE LA COL. PARAISOS DEL COLLI COMITe Nº. 190 DE LA COL. BALCONES DEL SOL COMITe Nº. 163 DE LA COL. COLINAS DE,82800,ING. EDUARDO ALONSO LOPEZ FLORES,Estudio y/o Proyecto,1B,Infraestructura Urbana,Otros,16-Abr-07,16-May-07,Finiquitada,1,2007
34,037/P-OT-C02-07,ELABORACION DE PROYECTOS PARA EL TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA LOS SIGUIENTES COMITES DE OBRA DEL PROGRAMA DE ESFUERZOS COMPARTIDOS: COMITe Nº.157 267 Y 345 DE LA COL. PARAISOS DEL COLLI Y COMITe Nº. 190 DE LA COL. BALCONES DEL SOL,62600,GRUPO CONSTRUCTOR COUNTRY S.A. DE C.V.,Estudio y/o Proyecto,7,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,18-Jun-07,Finiquitada,1,2007
129,038/P-OT-C02-07,ELABORACION DE PROYECTOS PARA EL TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA LOS SIGUIENTES COMITES DE OBRA DEL PROGRAMA DE ESFUERZOS COMPARTIDOS: COMITe Nº. 163 DE LA COL. COLINAS DE LA PRIMAVERA COMITe Nº. 254 DE LA COL. LOS CAJETES COMITE N.,112500,STELLA CONSTRUCCIONES S.A.. DE C.V.,Estudio y/o Proyecto,7,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,18-Jul-07,Finiquitada,1,2007
