Colonia,NombreTempo,Religion,UbicaTemplo,MinistroTemplo
2,La Sagrada Familia de Nazaret,1,"Natividad Macías Nº 362, Tel. 36.60.74.15",
6,María Puerta del Cielo,1,En Obelisco entre Hortencia y Gladiola,
8,"Parroquia ""La Sagrada Familia""",1,Francisco I. Madero No. 975  Tel. 36843748,Salvador Ortega
10,Templo El Camino de la Cruz,1,Agua Azul y Agua Roja,
10,Iglesia Agua Viva,0,Priv. Abel Salgado y Agua Clara # 27,
10,San Genaro,0,J. Gil Aguilar No. 492,
11,"Parroquia ""Santa Rosa Lima""",1,"Av. 18 de Marzo Nº 5191, Tel. 36321395 y 36323544",
11,El Shaddai (Cristiana),2,"Sierra de Pihuamo Nº 2028, Tel. 36326212",Responsable Rigo Vázquez
12,Nuestra Señora de Guadalupe,1,Hilo Blanco e Hilo Verde,
14,San Sabas Mártir,1,"Jesús del Muro Nº 1357, Tel. 36322805",
15,San Antonio de Padua,1,,
16,Nuestra Señora de Altagracia,1,"Av. de la Mancha Nº 258, Tel. 36567824",
17,Nuestra Señora de Altamira,1,"Calle Hetitas y  Caldeos Nº 375, Tel. 36567939",
20,Santiago Apóstol,1,"Comerciante Nº 5260, Tel. 36280345 y 36280352",
21,"Parroquia ""Nuestra Señora de la Caridad del Cobre""",1,"Arco de Tito y Arco Decio Nº 1202, Tel. 36363585",
21,"Templo de la ""Divina Providencia""",1,Arco del Triunfo No. 1530 Tel. 38.33.06.73,
22,Dulce Corazón de María,1,Diamante 127 Tel. 31.80.38.48,
22,Sagrado Corazón de Jesús,1,2da. Sección,
23,Santiago Apóstol,1,"Vasco de Quiroga Nº 114, Tel. 36602511",
23,Iglesia de La Luz del Mundo,4,Calle Prol. Federalismo y Saltillo,
24,San Miguel Arcángel,1,"Niño Artillero No. 32, Tel. 36603833, cruza con Las Torres",
32,Santo Niño de Atocha,1,"Oro Nº 24, Tel. 36600474",
32,Sagrado Corazón de Jesús,1,Esmeralda y Tepetate,
32,Salón del Reino de los Testigos de Jehová,6,Abel Salgado y Loma Bonita,
36,Nuestra Señora del Refugio,1,"José Palomar Nº 63, Tel. 36602254, Fax 3861 44-79",
372,Iglesia Luterana,9,"Av. Tepeyac Nº 4600, Tel. 31216741",
118,"Parroquia ""El Calvario""",1,Calle B y Calle 3,
36,Santa María de la Divina Gracia,1,"Calle Veracruz, entre Pino Suárez y Colonias",
59,"Templo ""Nuestra Señora de Monserrat""",1,"Pablo Cazals S/N, Tel. 3685-0175",
44,San Judas Tadeo,1,,
44,Señor de las Maravillas,1,,
