Colonia,UbicaTianguis,DiaTianguis
156,Azaleas entre Santa Margarita y San Marcos,Jueves
46,Santa Ana entre Colonos Unidos y Lopez Portillo,Viernes
97,El Colli entre Copernico y Vol. Cotopaxi,Sabado
312,H. Berlioz entre Av. Patria y George Haendel,Martes
266,Jacarandas entre El Colli y Av. Patria,Domingo
108,Obreros de Cananea entre Gral. J. Aguirre y G. Marquez,Domingo
362,Santa Ana entre Santa Mrgarita y Santa Alicia,Martes
347,Plata entre Santa Margarita y L. Cardenas,Domingo
399,Cuitlahuac entre Colon y Av. del Corral,Viernes
345,Cuitlahuac entre Colon y Av. del Corral,Viernes
406,Cuitlahuac entre Colon y Av. del Corral,Viernes
370,Paseo de las Caobas entre Paseo de los Huejotes  Frambuesos y Tabachines,Viernes
232,Av. Novelistas entre Mabuse y Gabrielle D' Anunzio,Miercoles
21,Arco Pertinax entre Arco del Triunfo y Arco Druso,Viernes
345,Francisco Sarabia entre Libertad y Lucio Blanco,Lunes
205,Av. Inglaterra entre Libra y Escorpion,Martes
121,Curtidores entre Carpinteros y Campesinos,Jueves
65,Tianguis navidenio en diciembre por Eva Brisenio.,epoca navidenia
6,Hortencia entre Camino a Santa Ana y Tulipan,Sabado
11,Montemorelos entre Proongacion Navio y Cruz del sur,Miercoles
16,Av. Ind. Textil entre Agave y Torre Vieja,Lunes
21,A. Valentino y A. Constantino,Miercoles
22,Mica entre Mercurio y Arroyo,Martes
22,Cobre entre Mercurio y Platino,Sabado
23,Prolongacion Federalismo,Miercoles
25,Granaditos (Experiencia) entre Cuitlahuac y E. Zapata,Viernes
32,Cantera Blanca entre Brillante y Plata.,Lunes
36,Francisco I. Madero entre Occidental y Experiencia,Domingo
38,Javier Rojo Gomez entre Carretera a Saltillo y Zapotlan,Martes
41,Azaleas entre Santa Margarita y San Marcos,Jueves
46,Av. Las Torres entre Colonos Unidos y Santo Tomas,Domingo
49,Av. Las Torres entre San Francisco y San Jose,Lunes
61,Cobre entre Centenario y Mercurio.,Sabado
78,Calzada de los Paraisos entre C. De las Palmas y C. Laureles,Lunes
78,Cincurvalacion Pte. entre C. Del Fresno y Paraisos,Jueves
97,Volcan Fujiyama entre Iturbide y Vol. Ajusco,Martes
108,Constituyentes entre Manuel M. Dieguez y Gral. Aguirre,Domingo
108,Constituyentes entre Manuel M. Dieguez y Gral. Aguirre,Jueves
127,Ma. Teresa Campirano entre Imperio y A. Serdan y Por A. Serdan entre Jesus Martinez Y Lazaro Cardenas.,Sabado
137,Francisco Villa entre Hernan Cortes Allende y Carretera a Santa Ana,Jueves
168,Constituyentes entre Alfonso Gravioto y Pablo Quiroga.,Jueves y Domingo
170,Ninios Heroes y Josefa Ortiz de Dominguez,Miercoles
187,Inglaterra entre Giovanni Pappini y Shakespeare,Lunes
202,Av. Inglaterra entre Gabriel Garcia Marquez y Juan Palomar y Arias,Viernes
210,Av. Tabachines entre Rio Tuxpan y Av. Patria,Domingo
221,Arco Pertinax entre A. Triunfo y A. Drusco.,Viernes
228,Chapala de Teocaltiche a Lagos de Moreno,Sabado
237,Lateral Mariano Otero entre Cuarzo y Sienita,Viernes
238,Hidalgo entre Francisco I.Madero y Morelos,Sabado
239,Vista hermosa entre Vista Campestre y Buena Vista,Martes
239,Pinia entre Toronja y Barranco,Domingo
240,A. Indigena y Calle Delli,Jueves
241,Jitomate entre Tomate y Frijol,Lunes
241,Paseo de los Guayabos y Paseo de los Ocotes,Miercoles
244,Piedras Negras,Jueves
250,Puerto Batabampo entre Puerto Guaymas y Puerto Tampico,Miercoles
250,Puerto Mazatlan entre Puerto Guaymas y Arenales,Domingo
260,Curtidores entre Carpinteros y Campesinos,Jueves
266,Nogal entre Prolongacion Tepeyac y Vol. Quinceo,Jueves
273,Prol. Federalismo Nte. entre Tratado de Tlalteloco y Gtez. Gallo,Miercoles
275,Lateral Periferico y Peniorada,Lunes
296,Santa Catalina de Siena entre Santa Rosa de Lima y L. Cardenas,Jueves
318,Av. Copernico y Av. Moctezuma.,Miercoles
349,Juarez entre Independencia y Venustiano Carranza,Miercoles
349,Av. 16 de Septiembre entre Ocampo y 5 de Mayo.,Domingo
356,Emiliano Zapata entre Santa Ana Tepetitlan y Zaragoza.,Domingo
360,Morelos entre M.M. Dieguez y Corregidora,Domingo
361,Santa Ana  entre Torres y Santa Cecilia.,Martes
362,Santa Lucrecia entre Santa Mercedes y Santa Monica,Lunes
365,Chapultepec entre Hidalgo y 16 de septiembre.,Lunes
370,Paseo de las Galateas entre Paseo de los Bambues y Paseo de los Granados,Martes
371,Morelos entre Aurelio Ortega y Laureles,Martes
373,Libertad entre San Francisco y Melchor Ocampo,Miercoles
377,Av. Tuzania entre Palmeras y Ajonjoli,Sabado
381,Av. Las Fuentes entre Tuxtla y S. Mazamitla.,Martes
394,E. Zapata entre M. Garcia y J. Gil Preciado.,Lunes
400,Av. Inglaterrra entre Av. Mexico y Sagitario,Martes
408,San Raymundo entre San Pedro y San Julian,Domingo
421,Tajin entre Xochitl y Sayil,Jueves
121,Venustiano Carranza entre A. Obregon y Tabachines,Domingo
220,Granados entre Higuerillas y Duraznos,Domingo
398,Calle Victoriano Nuniez,Martes
283,Obreros de Cananea entre Gral. J. Aguirre y G. Marquez,Domingo
13,Jardines de los Jazmines,Sabado
109,Paseo de las Caobas,Viernes
366,Constituyentes hasta la glorieta por la calle Gusa.,Domingo y Jueves
152,Aldama hasta la glorieta por calle la Gusa,Domingo y Jueves
325,Mariano Barcenas,Viernes
418,Vista Hermosa entre Vista Campestre y Buena Vista,Martes
10,-Inexistente-,
24,-Inexistente-,
28,-Inexistente-,
29,-Inexistente-,
39,-Inexistente-,
48,-Inexistente-,
58,-Inexistente-,
66,-Inexistente-,
67,-Inexistente-,
81,-Inexistente-,
87,-Inexistente-,
103,-Inexistente-,
105,-Inexistente-,
106,-Inexistente-,
115,-Inexistente-,
118,-Inexistente-,
120,-Inexistente-,
136,-Inexistente-,
147,-Inexistente-,
161,-Inexistente-,
162,-Inexistente-,
165,-Inexistente-,
189,-Inexistente-,
194,-Inexistente-,
195,Mariano Barcenas entre Luis Quintero y M Hndez.,Viernes
196,-Inexistente-,
199,-Inexistente-,
206,-Inexistente-,
216,-Inexistente-,
224,-Inexistente-,
225,-Inexistente-,
233,-Inexistente-,
242,-Inexistente-,
249,-Inexistente-,
254,-Inexistente-,
257,-Inexistente-,
262,Desde Encarnacion Ortiz hasta Natividad Macias,Domingo
271,-Inexistente-,
282,-Inexistente-,
330,-Inexistente-,
354,-Inexistente-,
367,-Inexistente-,
368,-Inexistente-,
379,Federalismo y Club Atlas de 7:00 a 16:00 hrs.,Miercoles
384,-Inexistente-,
395,-Inexistente-,
402,-Inexistente-,
407,-Inexistente-,
409,-Inexistente-,
422,-Inexistente-,
34,Lima entre Mezquite y Galeana,Lunes
144,Santa Lucrecia de Santa Mercedes a Av. Acueducto,Lunes
91,Av. El Colli de Cordilleras a Av. Copèrnico,Sabado
91,Fuera de la Explanada del Centro Social por Felipe Carrillo Puerto y Andador sin Nombre,Martes
235,,Lunes de las 6:00 am a las 4:00 pm
308,Ninguno,
47,Inexistente,
55,San Isidro entre San Jose y Javier,Martes
9,Av. Guadalupe Gallo,Domingos
111,Calle San Pedro S/N,
6,Gladiola entre Obelisco y Jazmin,Miercoles
110,Calle Lopez Mateos,Viernes
429,- Inexistente -,
430,Entronque de 1 de mayo y Albuquerque,Sabado
432,- Inexistente -,
433,- Inexistente -,
441,Inexistente,
439,Inexistente,
440,Inexistente,
442,Inexistente,
446,-Inexistente-,
12,-Inexistente-,
297,Leona Vicario entre Av. La Paz e Ignacio Allende,Lunes
248,Inexistente,
447,-Inexistente-,
293,Chapultepec ente Vicente Suarez y Juan Escutia,Lunes
448,-Inexistente-,
443,- Inexistente -,
449,- Inexistente -,
56,- Inexistente -,
234,- Inexistente -,
434,- Inexistente -,
435,- Inexistente -,
431,- Inexistente -,
255,Juarez,Jueves
235,Calle Michoacan y Av. Jalisco,Lunes
450,- Inexistente -,
191,3a Oriente entre Tesistan y 8a Sur,Sabado
364,Guadalupe Victoria,Martes
1,- Inexistente -,
261,Av. Palmira,Lunes
52,- Inexistente -,
80,- Inexistente -,
140,- Inexistente -,
452,- Inexistente -,
95,Volcan Fujiyama,Martes
236,- Inexistente -,
155,- Inexistente -,
322,Av. Moctezuma,Miercoles Viernes y Domingo
453,- Inexistente -,
258,- Inexistente -,
141,"- Inexistente -
",
85,Ahuehuetes,Viernes
375,- Inexistente -,
90,- Inexistente -,
113,- Inexistente -,
451,- Inexistente -,
263,- Inexistente -,
455,- Inexistente -,
180,- Inexistente -,
19,- Inexistente -,
274,- Inexistente -,
380,- Inexistente -,
369,- Inexistente -,
456,- Inexistente -,
169,Rio Amazonas,Viernes
146,- Inexistente -,
226,- Inexistente -,
93,- Inexistente -,
319,- Inexistente -,
151,- Inexistente -,
426,- Inexistente -,
427,- Inexistente -,
14,- Inexistente -,
125,- Inexistente -,
154,- Inexistente -,
376,- Inexistente -,
259,Tercera Oriente entre Carretera a Tesistan y Octava Sur,Sabado
191,1a Poniente entre 4a Norte y 8a Sur,Domingo
337,- Inexistente -,
459,- Inexistente -,
457,- Inexistente -,
458,- Inexistente -,
338,- Inexistente -,
411,- Inexistente -,
460,- Inexistente -,
461,- Inexistente -,
50,- Inexistente -,
54,- Inexistente -,
62,- Inexistente -,
130,- Inexistente -,
128,- Inexistente -,
304,- Inexistente -,
464,- Inexistente -,
462,- Inexistente -,
465,- Inexistente -,
466,- Inexistente -,
463,- Inexistente -,
339,- Inexistente -,
20,- Inexistente -,
291,- Inexistente -,
298,- Inexistente -,
414,- Inexistente -,
467,- Inexistente -,
468,- Inexistente -,
469,- Inexistente -,
470,- Inexistente -,
471,- Inexistente -,
150,- Inexistente -,
69,- Inexistente -,
143,- Inexistente -,
159,- Inexistente -,
163,Lazaro Cardenas y Zapotlan,Martes
163,Arandas y Zapotlan,Sabado
153,- Inexistente -,
64,Calle Las Misiones,Domingo
44,- Inexistente -,
133,- Inexistente -,
148,- Inexistente -,
124,- Inexistente -,
68,-Inexistente-,
70,- Inexistente -,
72,- Inexistente -,
178,Glorieta Chapalita,Domingos
472,- Inexistente -,
473,- Inexistente -,
31,- Inexistente -,
171,- Inexistente -,
75,- Inexistente -,
83,Jacarandas,Jueves
96,Inexistente,
396,Inexistente,
474,"Inexistente
",
475,Inexistente,
