"","colonia","long","lat","n"
"1","12 DE DICIEMBRE",-103.462381666667,20.64770499,3
"2","AGRICOLA",-103.431511472222,20.6154984738889,18
"3","AGUA BLANCA",-103.433552483333,20.60288085,12
"4","AGUA BLANCA INDUSTRIAL",-103.42572066,20.60205416,5
"5","AGUA BLANCA SUR",-103.4347391,20.59688036,12
"6","AGUA FRIA",-103.3489578375,20.748199015,8
"7","AGUILAS LAS",-103.414873104651,20.6264437653488,43
"8","AGUJAS LAS",-103.485058072727,20.7955296736364,11
"9","ALAMEDAS LAS",-103.4362876,20.63557036,10
"10","ALAMITOS LOS",-103.4349278,20.763189445,2
"11","ALAMO",-103.50009675,20.80568897,2
"12","ALBATERRA",-103.44913825,20.85040686,2
"13","ALMENDROS LOS",-103.39466675,20.76699789,4
"14","ALTAGRACIA",-103.392770852174,20.7431667013043,23
"15","ALTAMIRA",-103.385087555556,20.7120136644444,9
"16","ALTAVISTA",-103.4031021,20.76616055,4
"17","AMARANTO",-103.4550101,20.809729635,2
"18","AMPLIACION SANTA LUCIA",-103.4974797,20.81064394625,8
"19","ANGELES DE NEXTIPAC LOS",-103.498320877778,20.7901478855556,9
"20","ARBOLEDA LA",-103.40785666,20.7320715913333,15
"21","ARBOLEDAS",-103.423435325333,20.631050452,75
"22","ARCOS DE GUADALUPE",-103.434912345,20.665028733,20
"23","ARCOS DE ZAPOPAN",-103.40683735,20.7411214927381,84
"24","ARENALES TAPATIOS",-103.460712297674,20.6345414397674,86
"25","ARMONIA",-103.4448772,20.74599747,1
"26","ARROYO HONDO",-103.347022366667,20.7406834594872,39
"27","ATEMAJAC DEL VALLE",-103.354095927778,20.7188513511111,36
"28","ATLAS COLOMOS",-103.4072719,20.71047995,1
"29","AUDITORIO",-103.349152441176,20.7317461185294,34
"30","AURORA LA",-103.37293965,20.72537946,2
"31","AYAMONTE",-103.461388,20.67869016,1
"32","BAJIO EL",-103.4612365,20.7004018266667,3
"33","BALCONES DE LA CANTERA",-103.352996218182,20.7433660033333,33
"34","BALCONES DEL SOL",-103.4581699,20.649992686,10
"35","BATAN EL",-103.34523861875,20.7223015925,16
"36","BENITO JUAREZ",-103.340161985294,20.7326997738235,34
"37","BENITO JUAREZ NORTE",-103.338470483333,20.7380187316667,6
"38","BOSQUE DE LA PRIMAVERA",-103.5545787,20.7074049366667,6
"39","BOSQUE ESCONDIDO",-103.3560504,20.7348677,1
"40","BOSQUE LA PRIMAVERA S-III",-103.4812197,20.65386469,1
"41","BOSQUES DEL CENTINELA",-103.378437,20.753135175,14
"42","BOVEDAS LAS",-103.423402633333,20.7351892733333,3
"43","BRISAS DE LA PRIMAVERA",-103.4783986,20.6475868257143,7
"44","BRISEniO EL",-103.436590727778,20.6251865144444,18
"45","BUGAMBILIAS",-103.447005640909,20.6027413995455,22
