"","colonia","dia.sem","long","lat","n"
"1","SAN JUAN DE OCOTAN","Mon",-103.455877628125,20.70933871375,32
"2","SAN JUAN DE OCOTAN","Thu",-103.455013466667,20.712417357037,27
"3","TABACHINES","Mon",-103.365023734615,20.7393951096154,26
"4","CONSTITUCION","Mon",-103.366134988,20.7291291948,25
"5","MIRAMAR","Wed",-103.451135052,20.6410250472,25
"6","CABECERA MUNICIPAL","Sat",-103.392602645833,20.7232902008333,24
"7","ARCOS DE ZAPOPAN","Wed",-103.406890578261,20.7420422830435,23
"8","ARENALES TAPATIOS","Sat",-103.461322359091,20.6351904845455,22
"9","CABECERA MUNICIPAL","Wed",-103.390189727273,20.7220040836364,22
"10","CONSTITUCION","Wed",-103.367413136364,20.72680714,22
"11","PASEOS DEL SOL","Wed",-103.430820722727,20.6357298709091,22
"12","CABECERA MUNICIPAL","Mon",-103.391434552381,20.7223931104762,21
"13","CONSTITUCION","Sat",-103.367686819048,20.7289472614286,21
"14","VILLAS DE GUADALUPE","Mon",-103.342755752381,20.7541940128571,21
"15","PASEOS DEL SOL","Thu",-103.43017765,20.635988444,20
"16","SANTA MARGARITA","Mon",-103.414751875,20.728379203,20
"17","PASEOS DEL SOL","Mon",-103.431231826316,20.63497048,19
"18","SAN JUAN DE OCOTAN","Sat",-103.455862426316,20.7130073231579,19
"19","SAN JUAN DE OCOTAN","Wed",-103.453594678947,20.7085112163158,19
"20","CABECERA MUNICIPAL","Thu",-103.391762622222,20.7223455822222,18
"21","MIRAMAR","Mon",-103.452689144444,20.6394269666667,18
"22","TABACHINES","Sat",-103.363141544444,20.7398629188889,18
"23","VALLE DE LOS MOLINOS","Wed",-103.4258497,20.849572255,18
"24","ARBOLEDAS","Thu",-103.422227311765,20.6348777770588,17
"25","ARCOS DE ZAPOPAN","Mon",-103.406605064706,20.7398564970588,17
"26","VALLE DE LOS MOLINOS","Mon",-103.428063970588,20.8517526076471,17
"27","CABECERA MUNICIPAL","Fri",-103.39144823125,20.7229739525,16
"28","COLLI EL","Fri",-103.42602784375,20.642236331875,16
