x,y,val
-1.04E+02,2.05E+01,5.11E+01
-1.03E+02,2.05E+01,5.07E+01
-1.03E+02,2.05E+01,5.03E+01
-1.03E+02,2.05E+01,4.97E+01
-1.03E+02,2.05E+01,4.91E+01
-1.03E+02,2.05E+01,4.84E+01
-1.03E+02,2.05E+01,4.76E+01
-1.03E+02,2.05E+01,4.68E+01
-1.03E+02,2.05E+01,4.59E+01
-1.03E+02,2.05E+01,4.49E+01
-1.03E+02,2.06E+01,4.39E+01
-1.03E+02,2.06E+01,4.28E+01
-1.03E+02,2.06E+01,4.16E+01
-1.03E+02,2.06E+01,4.04E+01
-1.03E+02,2.06E+01,3.93E+01
-1.03E+02,2.06E+01,3.82E+01
-1.03E+02,2.06E+01,3.71E+01
-1.03E+02,2.06E+01,3.59E+01
-1.03E+02,2.06E+01,3.44E+01
-1.03E+02,2.06E+01,3.18E+01
-1.03E+02,2.06E+01,2.64E+01
-1.03E+02,2.06E+01,1.59E+01
-1.03E+02,2.06E+01,2.24E+00
-1.03E+02,2.06E+01,1.51E+01
-1.03E+02,2.06E+01,3.86E+01
-1.03E+02,2.06E+01,3.11E+01
-1.03E+02,2.06E+01,4.67E+01
-1.03E+02,2.06E+01,4.40E+01
-1.03E+02,2.06E+01,3.00E+01
-1.03E+02,2.06E+01,7.71E+00
-1.03E+02,2.07E+01,5.25E+00
-1.03E+02,2.07E+01,5.59E+00
-1.03E+02,2.07E+01,3.71E+00
-1.03E+02,2.07E+01,3.01E+01
-1.03E+02,2.07E+01,3.09E+01
-1.03E+02,2.07E+01,6.72E+00
-1.03E+02,2.07E+01,3.24E+01
-1.03E+02,2.07E+01,2.63E+01
-1.03E+02,2.07E+01,1.94E+01
-1.03E+02,2.07E+01,6.90E+00
-1.03E+02,2.07E+01,4.19E-01
-1.03E+02,2.07E+01,2.56E+00
-1.03E+02,2.07E+01,1.16E+00
-1.03E+02,2.07E+01,-2.58E+00
-1.03E+02,2.07E+01,1.42E+01
-1.03E+02,2.07E+01,3.39E+01
-1.03E+02,2.07E+01,1.16E+01
-1.03E+02,2.07E+01,3.35E+01
-1.03E+02,2.07E+01,4.90E+01
-1.03E+02,2.07E+01,1.59E+01
-1.03E+02,2.08E+01,1.40E+01
-1.03E+02,2.08E+01,1.23E+01
-1.03E+02,2.08E+01,1.11E+01
-1.03E+02,2.08E+01,2.45E+00
-1.03E+02,2.08E+01,-2.01E+00
-1.03E+02,2.08E+01,-1.48E+00
-1.03E+02,2.08E+01,2.36E-01
-1.03E+02,2.08E+01,1.98E+00
-1.03E+02,2.08E+01,3.73E+00
-1.03E+02,2.08E+01,5.50E+00
-1.03E+02,2.08E+01,7.09E+00
-1.03E+02,2.08E+01,7.97E+00
-1.03E+02,2.08E+01,7.02E+00
-1.03E+02,2.08E+01,5.78E+00
-1.03E+02,2.08E+01,5.05E+00
-1.03E+02,2.08E+01,5.11E+00
-1.03E+02,2.08E+01,5.91E+00
-1.03E+02,2.08E+01,7.22E+00
-1.03E+02,2.08E+01,8.74E+00
-1.03E+02,2.08E+01,1.02E+01
-1.03E+02,2.09E+01,1.14E+01
-1.03E+02,2.09E+01,1.22E+01
-1.03E+02,2.09E+01,1.26E+01
-1.03E+02,2.09E+01,1.26E+01
-1.03E+02,2.09E+01,1.23E+01
-1.03E+02,2.09E+01,1.16E+01
-1.03E+02,2.09E+01,1.07E+01
-1.03E+02,2.09E+01,9.67E+00
-1.03E+02,2.09E+01,8.46E+00
-1.03E+02,2.09E+01,7.15E+00
-1.03E+02,2.09E+01,5.78E+00
-1.03E+02,2.09E+01,4.39E+00
-1.03E+02,2.09E+01,3.00E+00
-1.03E+02,2.09E+01,1.63E+00
-1.03E+02,2.09E+01,3.05E-01
-1.03E+02,2.09E+01,-9.69E-01
-1.03E+02,2.09E+01,-2.18E+00
-1.03E+02,2.09E+01,-3.32E+00
-1.03E+02,2.09E+01,-4.40E+00
-1.03E+02,2.09E+01,-5.40E+00
-1.03E+02,2.10E+01,-6.32E+00
-1.03E+02,2.10E+01,-7.18E+00
-1.03E+02,2.10E+01,-7.97E+00
-1.03E+02,2.10E+01,-8.68E+00
-1.03E+02,2.10E+01,-9.34E+00
-1.03E+02,2.10E+01,-9.93E+00
-1.03E+02,2.10E+01,-1.05E+01
-1.03E+02,2.10E+01,-1.09E+01
-1.03E+02,2.10E+01,-1.13E+01
-1.03E+02,2.10E+01,-1.17E+01
